pair_id,role,model,label,latency_ms,cached,raw_text
p05,router_fast,DeepSeek-V4-Flash,UNCERTAIN,6750,False,LABEL: UNCERTAIN REASON: Evidence shows correlation in Aβ-positive individuals but not clear temporal precedence of GFAP before PET positivity.
p05,teacher_premium,Qwen3-235B-A22B-Instruct-2507,SUPPORT,1403,True,"LABEL: SUPPORT   REASON: The evidence shows plasma GFAP rises in Aβ-positive individuals before amyloid PET burden increases, supporting that GFAP elevation precedes amyloid positivity."
p05,teacher_medical,Baichuan-M3-Plus,SUPPORT,12169,True,"LABEL: **SUPPORT**   REASON: The evidence indicates plasma GFAP elevation occurs in cognitively unimpaired individuals who are already Aβ-positive, suggesting it precedes overt amyloid PET positivity and tracks with future amyloid burden. This aligns with the claim that GFAP elevation precedes amyloid PET positivity in preclinical AD. Notably, **plasma GFAP was associated with amyloid positivity in asymptomatic individuals** and **increased with clinical severity**, supporting its early role ^[7"
p06,router_fast,DeepSeek-V4-Flash,SUPPORT,19614,False,LABEL: SUPPORT REASON: Evidence identifies DAM signatures enriched in AD prefrontal cortex via single-nucleus RNA-seq.
p06,teacher_premium,Qwen3-235B-A22B-Instruct-2507,SUPPORT,1353,True,"LABEL: SUPPORT   REASON: The evidence identifies disease-associated microglia signatures enriched in AD brain tissue using single-nucleus RNA-seq, directly supporting the claim."
p06,teacher_medical,Baichuan-M3-Plus,SUPPORT,9909,True,"**LABEL: SUPPORT**   **REASON:** The evidence directly identifies disease-associated microglia (DAM) signatures enriched in the AD prefrontal cortex through single-nucleus RNA-seq, supporting the claim of microglial subpopulations enriched in AD. While the method is snRNA-seq rather than scRNA-seq, it is a closely related single-cell resolution technique commonly used for postmortem brain tissue and captures transcriptional profiles of individual nuclei, effectively revealing subpopulations. The"
p07,router_fast,DeepSeek-V4-Flash,REFUTE,6302,False,"LABEL: REFUTE REASON: Evidence states it is observed in multiple conditions, so it is not specific to AD."
p07,teacher_premium,Qwen3-235B-A22B-Instruct-2507,REFUTE,2205,True,"LABEL: REFUTE   REASON: The evidence states hippocampal atrophy is not specific to AD, as it occurs in other conditions and aging, contradicting the claim of specificity."
p07,teacher_medical,Baichuan-M3-Plus,REFUTE,10659,True,"**LABEL: REFUTE**   **REASON:** The evidence explicitly states that hippocampal atrophy occurs in multiple non-AD conditions and concludes its specificity for AD is ""moderate at best,"" directly contradicting the claim of it being a specific marker.    Key points from the evidence:   - Hippocampal atrophy is **not exclusive to AD**, as it is also seen in **hippocampal sclerosis, LATE-NC, frontotemporal dementia, and normal aging**.   - The phrase “specificity for AD is moderate at best” indicates"
p08,router_fast,DeepSeek-V4-Flash,SUPPORT,7926,False,"LABEL: SUPPORT REASON: Evidence shows tau PET binding in entorhinal cortex aligns with Braak stages I–II, which are early stages."
p08,teacher_premium,Qwen3-235B-A22B-Instruct-2507,SUPPORT,1306,True,"LABEL: SUPPORT   REASON: The evidence shows flortaucipir PET binding in entorhinal cortex aligns with Braak stages I–II, directly supporting the claim."
p08,teacher_medical,Baichuan-M3-Plus,SUPPORT,8940,True,"**LABEL: SUPPORT**   **REASON:** The evidence states that ¹⁸F-AV-1451 PET binding in the entorhinal cortex aligns with Braak stages I–II, directly supporting the claim that tau PET signal in this region correlates with early Braak stages."
p09,router_fast,DeepSeek-V4-Flash,REFUTE,16963,False,"LABEL: REFUTE REASON: Evidence states 25-35% reduction, not 50%, and denies any study showing 50% reduction."
p09,teacher_premium,Qwen3-235B-A22B-Instruct-2507,REFUTE,1867,True,"LABEL: REFUTE   REASON: The evidence states no study reports a 50% reduction, only 25–35%, directly contradicting the claimed magnitude."
p09,teacher_medical,Baichuan-M3-Plus,REFUTE,7070,True,"**LABEL: REFUTE**   **REASON:** The evidence states that cohort studies show a 25–35% risk reduction, and explicitly notes that **no study has reported a 50% incidence reduction**, directly contradicting the claim."
p10,router_fast,DeepSeek-V4-Flash,REFUTE,9466,False,"LABEL: REFUTE REASON: Evidence explicitly states NfL is not AD-specific, contradicting the claim."
p10,teacher_premium,Qwen3-235B-A22B-Instruct-2507,REFUTE,1861,True,"LABEL: REFUTE   REASON: The evidence states NfL is elevated in multiple neurological conditions and not AD-specific, directly contradicting the claim."
p10,teacher_medical,Baichuan-M3-Plus,REFUTE,5433,True,"**LABEL:** REFUTE   **REASON:** The evidence explicitly states that NfL is elevated in multiple neurological conditions and is not specific to AD, directly contradicting the claim of brain-specificity for AD."
p11,router_fast,DeepSeek-V4-Flash,REFUTE,7483,False,"LABEL: REFUTE REASON: Evidence states no reversal and drugs are for early/mild AD, not moderate."
p11,teacher_premium,Qwen3-235B-A22B-Instruct-2507,REFUTE,1373,True,"LABEL: REFUTE   REASON: Evidence shows anti-amyloid drugs slow decline in early AD but do not reverse it, and reversal is not observed."
p11,teacher_medical,Baichuan-M3-Plus,REFUTE,10035,True,"LABEL: REFUTE   REASON: The evidence states that lecanemab and donanemab only **slowed decline by 27–35% in early AD**, with **no reversal** of cognitive decline, and are not indicated for moderate AD."
p12,router_fast,DeepSeek-V4-Flash,SUPPORT,8404,False,LABEL: SUPPORT REASON: Evidence shows spatial transcriptomics mapping glial gene changes at sub-100μm resolution in AD mouse brain.
p12,teacher_premium,Qwen3-235B-A22B-Instruct-2507,SUPPORT,3534,False,"LABEL: SUPPORT REASON: The evidence shows spatial transcriptomics identified glial (microglia and astrocyte) gene expression changes in AD mouse brain at high resolution, supporting region-specific responses."
p12,teacher_medical,Baichuan-M3-Plus,SUPPORT,7717,False,"LABEL: SUPPORT   REASON: The evidence indicates that spatial transcriptomics mapped plaque-induced gene expression changes in glial cells (microglia and astrocytes) at high resolution, directly supporting region-specific glial responses in AD brain."
p13,router_fast,DeepSeek-V4-Flash,REFUTE,2494,False,"LABEL: REFUTE REASON: Evidence shows guidelines allow alternatives like PET or plasma, not requiring CSF for diagnosis."
p13,teacher_premium,Qwen3-235B-A22B-Instruct-2507,REFUTE,6502,True,"LABEL: REFUTE   REASON: The evidence states that plasma biomarkers alone can diagnose AD, contradicting the claim that CSF is required under all guidelines."
p13,teacher_medical,Baichuan-M3-Plus,REFUTE,8147,True,"LABEL: REFUTE   REASON: The evidence states that recent 2024 revisions explicitly include **plasma p-tau217 as a stand-alone biomarker**, indicating CSF is not required under all guidelines. Additionally, frameworks allow **PET or validated plasma biomarkers** as alternatives to CSF ^[4]^, directly contradicting the claim that CSF biomarkers are universally required."
p14,router_fast,DeepSeek-V4-Flash,PARSE_FAIL,3737,False,
p14,teacher_premium,Qwen3-235B-A22B-Instruct-2507,SUPPORT,1133,True,"LABEL: SUPPORT   REASON: Evidence shows higher education delays AD symptom onset by 2–5 years, directly supporting cognitive reserve delaying onset."
p14,teacher_medical,Baichuan-M3-Plus,SUPPORT,9672,True,"**LABEL**: SUPPORT   **REASON**: The evidence states higher education is associated with a 2–5 year delay in AD symptom onset, directly supporting the claim that it delays onset through cognitive reserve, despite no change in underlying pathology ^[1]^ ^[9]^.  Notably, the **cognitive reserve hypothesis** explains this phenomenon: individuals with higher education can **withstand greater neuropathological burden before exhibiting clinical symptoms** ^[1]^.  This is further reinforced by findings"
p15,router_fast,DeepSeek-V4-Flash,SUPPORT,7070,False,LABEL: SUPPORT REASON: Evidence explicitly states BBB breakdown prior to cognitive impairment in APOE ε4 carriers.
p15,teacher_premium,Qwen3-235B-A22B-Instruct-2507,SUPPORT,1104,True,"LABEL: SUPPORT   REASON: The evidence shows BBB breakdown in APOE ε4 carriers before cognitive impairment, aligning with the claim."
p15,teacher_medical,Baichuan-M3-Plus,SUPPORT,13449,True,"**LABEL: SUPPORT**   **REASON:** The evidence states that BBB breakdown occurs in *cognitively unimpaired* APOE ε4 carriers, indicating it precedes cognitive decline and is independent of amyloid-β or tau pathology ^[2]^ ^[5]^ ^[7]^.  Specifically, multiple documents confirm this temporal sequence: BBB disruption in the hippocampus and medial temporal lobe is **apparent in cognitively normal APOE ε4 carriers** and becomes more severe with cognitive impairment ^[4]^ ^[7]^.  Moreover, this breakdo"
p16,router_fast,DeepSeek-V4-Flash,REFUTE,2881,False,"LABEL: REFUTE REASON: Evidence states direct visualization in humans remains limited, contradicting claim of confirmed direct imaging."
p16,teacher_premium,Qwen3-235B-A22B-Instruct-2507,REFUTE,1257,True,"LABEL: REFUTE   REASON: The evidence states that direct visualization of glymphatic dysfunction in humans remains limited, contradicting the claim of confirmation by direct imaging."
p16,teacher_medical,Baichuan-M3-Plus,REFUTE,5750,True,"**LABEL: REFUTE**   **REASON:** The evidence states that human evidence is primarily *indirect* and that *direct visualization remains limited*, which directly contradicts the claim that dysfunction has been *confirmed by direct imaging*."
p17,router_fast,DeepSeek-V4-Flash,REFUTE,30196,False,"LABEL: REFUTE REASON: Evidence reports risk 1.4–1.6, not 2.0, directly contradicting doubling claim."
p17,teacher_premium,Qwen3-235B-A22B-Instruct-2507,REFUTE,1285,True,"LABEL: REFUTE   REASON: The evidence shows a 1.4–1.6 times increased risk, not a doubling (2.0), directly contradicting the claim."
p17,teacher_medical,Baichuan-M3-Plus,REFUTE,7940,True,"LABEL: REFUTE   REASON: The evidence indicates a 1.4- to 1.6-fold increased risk of Alzheimer's disease in type 2 diabetes, which is **less than a doubling (2-fold)** of risk, directly contradicting the claim. While some studies suggest up to a two-fold increase ^[6]^, the cited meta-analyses specifically report relative risks below 2.0. For instance, one meta-analysis found a **56% increased risk of AD** in individuals with diabetes ^[1]^, corresponding to a relative risk of 1.56. Another repor"
p18,router_fast,DeepSeek-V4-Flash,UNCERTAIN,6346,False,"LABEL: UNCERTAIN REASON: Evidence uses whole-exome and targeted sequencing, not whole genome sequencing as claimed."
p18,teacher_premium,Qwen3-235B-A22B-Instruct-2507,SUPPORT,9525,True,"LABEL: SUPPORT   REASON: Whole-exome and targeted sequencing, though not whole genome, are genomic methods that identified rare TREM2 variants in AD studies."
p18,teacher_medical,Baichuan-M3-Plus,SUPPORT,6406,True,"LABEL: SUPPORT   REASON: The evidence confirms that rare TREM2 variants (specifically R47H) were identified in AD families through sequencing methods, directly supporting the claim."
p19,router_fast,DeepSeek-V4-Flash,REFUTE,10333,False,"LABEL: REFUTE REASON: Evidence states specificity is 80-90%, never 100%, contradicting the claim."
p19,teacher_premium,Qwen3-235B-A22B-Instruct-2507,REFUTE,1436,True,"LABEL: REFUTE   REASON: Evidence states specificity ranges 80–90% and is never reported as 100%, directly contradicting the claim."
p19,teacher_medical,Baichuan-M3-Plus,REFUTE,6115,True,"**LABEL:** REFUTE   **REASON:** The evidence states that specificity of plasma p-tau181 ranges from 80% to 90%, and explicitly notes it has **never been reported as 100%** in any peer-reviewed cohort, directly contradicting the claim of 100% specificity."
p20,router_fast,DeepSeek-V4-Flash,SUPPORT,21218,False,LABEL: SUPPORT REASON: Evidence shows distinct vulnerability in entorhinal cortex neurons compared to other regions.
p20,teacher_premium,Qwen3-235B-A22B-Instruct-2507,SUPPORT,4093,True,"LABEL: SUPPORT   REASON: The evidence shows selective vulnerability of specific neurons in the entorhinal cortex early in AD, differing from other regions, directly supporting regional variation in cell-type vulnerability."
p20,teacher_medical,Baichuan-M3-Plus,SUPPORT,12834,True,"**LABEL: SUPPORT**   **REASON:** The evidence shows selective vulnerability of excitatory neurons in the entorhinal cortex during early Braak stages, indicating regional differences in cell-type vulnerability to AD pathology ^[3]^ ^[4]^.  Furthermore, additional support comes from the observation that **three subpopulations in the entorhinal cortex (EC) showed a statistically significant ~50–60% reduction in relative abundance at Braak stage 2**, indicating early depletion, while such changes we"
p21,router_fast,DeepSeek-V4-Flash,REFUTE,4726,False,"LABEL: REFUTE REASON: Evidence indicates risk reduction, not prevention, and large-scale trials lack definitive efficacy."
p21,teacher_premium,Qwen3-235B-A22B-Instruct-2507,REFUTE,1347,False,"LABEL: REFUTE REASON: The evidence states preventive efficacy in large-scale trials is not definitively established, contradicting the absolute claim that exercise prevents Alzheimer's."
p21,teacher_medical,Baichuan-M3-Plus,SUPPORT,5958,False,"LABEL: SUPPORT   REASON: The evidence indicates aerobic exercise reduces AD risk by 30–40%, which directly supports the claim that exercise prevents Alzheimer's disease, albeit not with absolute certainty due to lack of definitive large-scale RCT confirmation."
p22,router_fast,DeepSeek-V4-Flash,SUPPORT,2454,False,"LABEL: SUPPORT REASON: Evidence directly states acute sleep deprivation increased brain Aβ, and chronic effects are supported."
p22,teacher_premium,Qwen3-235B-A22B-Instruct-2507,SUPPORT,1390,True,"LABEL: SUPPORT   REASON: The evidence directly links acute sleep deprivation to increased brain Aβ, with additional support from chronic effects in epidemiological studies."
p22,teacher_medical,Baichuan-M3-Plus,SUPPORT,8062,True,"LABEL: SUPPORT   REASON: The evidence states that acute sleep deprivation increased brain Aβ measured by PET in healthy adults, directly supporting the claim that sleep deprivation increases amyloid burden ^[11]^; additional support from epidemiological studies implies chronic effects.  我建议您进一步查阅睡眠剥夺对不同年龄段人群脑内淀粉样蛋白沉积影响的长期研究及潜在机制的系统综述。您需要我帮您检索相关文献吗？"
p23,router_fast,DeepSeek-V4-Flash,REFUTE,10061,False,"LABEL: REFUTE REASON: Evidence states CRP is not specific to AD neuroinflammation, directly contradicting the claim."
p23,teacher_premium,Qwen3-235B-A22B-Instruct-2507,REFUTE,1525,True,"LABEL: REFUTE   REASON: The evidence states CRP is not specific to brain or AD, directly contradicting its role as an AD-specific biomarker."
p23,teacher_medical,Baichuan-M3-Plus,REFUTE,11323,True,"**LABEL: REFUTE**   **REASON:** The evidence indicates CRP is a general inflammation marker lacking specificity for brain or AD, whereas AD-specific neuroinflammation is better reflected by markers like **GFAP, sTREM2, and YKL-40** ^[2]^ ^[4]^.  Moreover, studies on ""classical"" inflammation markers like **CRP have shown limited consistency in meta-analyses** ^[2]^, and **CRP levels are easily affected by various systemic conditions**, limiting their clinical usefulness due to **low disease speci"
p24,router_fast,DeepSeek-V4-Flash,REFUTE,2909,False,LABEL: REFUTE REASON: No trial demonstrates reversal of Aβ or tau pathology by lifestyle intervention.
p24,teacher_premium,Qwen3-235B-A22B-Instruct-2507,REFUTE,1215,True,"LABEL: REFUTE   REASON: Evidence states no trial shows reversal of Aβ or tau pathology via lifestyle intervention, directly contradicting the claim."
p24,teacher_medical,Baichuan-M3-Plus,REFUTE,6160,True,"LABEL: REFUTE   REASON: The evidence states no randomized trial has demonstrated reversal of established Aβ or tau pathology by lifestyle intervention, directly contradicting the claim."
p25,router_fast,DeepSeek-V4-Flash,PARSE_FAIL,3974,False,
p25,teacher_premium,Qwen3-235B-A22B-Instruct-2507,UNCERTAIN,1348,True,"LABEL: UNCERTAIN   REASON: Evidence shows zero-shot or fine-tuned use on neurological datasets, but does not confirm application to AD datasets without retraining."
p25,teacher_medical,Baichuan-M3-Plus,SUPPORT,8023,True,"LABEL: **SUPPORT**   REASON: The evidence indicates that scGPT and scFoundation were applied in **zero-shot or parameter-efficient fine-tuning (PEFT)** settings on disease-specific scRNA-seq data, including **neurological datasets**, achieving competitive performance, which implies applicability to AD-related single-cell data without full retraining ^[3]^ ^[4]^. This directly supports their use on Alzheimer’s disease datasets with minimal adaptation.  我建议您进一步查阅这些模型在阿尔茨海默病特异性单细胞数据中的零样本迁移能力及细胞类型注释"
p26,router_fast,DeepSeek-V4-Flash,REFUTE,10337,False,"LABEL: REFUTE REASON: Evidence states plasma p-tau217 achieves comparable AUC to CSF, contradicting the claim of outperformance."
p26,teacher_premium,Qwen3-235B-A22B-Instruct-2507,REFUTE,3966,True,"LABEL: REFUTE   REASON: Evidence shows plasma p-tau217 performs comparably to CSF p-tau217, contradicting the claim that CSF outperforms plasma."
p26,teacher_medical,Baichuan-M3-Plus,REFUTE,6555,True,"LABEL: REFUTE   REASON: The evidence states plasma p-tau217 achieves **comparable AUC (0.93–0.95)** to CSF p-tau217 in early AD detection, directly contradicting the claim that CSF outperforms plasma."
p27,router_fast,DeepSeek-V4-Flash,UNCERTAIN,12105,False,LABEL: UNCERTAIN REASON: Evidence shows association but states causality is not definitively established.
p27,teacher_premium,Qwen3-235B-A22B-Instruct-2507,REFUTE,1376,True,"LABEL: REFUTE   REASON: Evidence states causality is plausible but not definitively established, directly contradicting the claim of a causal link."
p27,teacher_medical,Baichuan-M3-Plus,UNCERTAIN,7581,True,"**LABEL: UNCERTAIN**   **REASON:** The evidence indicates a plausible but not definitive causal link, with associations (HR 1.1–1.2) reported rather than confirmed causation."
p28,router_fast,DeepSeek-V4-Flash,SUPPORT,3184,False,"LABEL: SUPPORT REASON: Evidence shows strong correlation of plasma p-tau217 with CSF/PET tau, validating blood-based readout."
p28,teacher_premium,Qwen3-235B-A22B-Instruct-2507,SUPPORT,1319,True,"LABEL: SUPPORT   REASON: The evidence shows strong correlation between plasma p-tau217 and established tau pathology measures, validating blood-based detection."
p28,teacher_medical,Baichuan-M3-Plus,SUPPORT,9977,True,"LABEL: **SUPPORT**   REASON: The evidence shows **strong correlations (r > 0.7)** between plasma p-tau217 and CSF/PET tau pathology, directly supporting the validity of brain-to-blood translation for tau pathology ^[1]^ ^[3]^ ^[7]^.  Notably, **plasma p-tau217 demonstrated 83% sensitivity and 83% specificity for tau PET positivity**, with **AUC values ranging from 0.93 to 0.95** for identifying tau-PET positive individuals ^[1]^ ^[3]^.  Furthermore, **CSF p-tau217 had 91% sensitivity and 84% spe"
p29,router_fast,DeepSeek-V4-Flash,REFUTE,7543,False,"LABEL: REFUTE REASON: Evidence shows only 10-15% annual conversion and many stable or revert, contradicting ""all."""
p29,teacher_premium,Qwen3-235B-A22B-Instruct-2507,REFUTE,4744,True,"LABEL: REFUTE   REASON: Evidence shows only 10–15% annual conversion, contradicting claim that all MCI patients progress to AD within 5 years."
p29,teacher_medical,Baichuan-M3-Plus,REFUTE,7453,True,"**LABEL:** REFUTE   **REASON:** The evidence states that conversion rates are 10–15% annually, meaning not all progress within 5 years, and many remain stable or revert, directly contradicting the claim of universal progression."
p30,router_fast,DeepSeek-V4-Flash,SUPPORT,2384,False,"LABEL: SUPPORT REASON: Evidence reports 8-15% error rates on biomarker thresholds despite grounding, directly supporting the claim."
p30,teacher_premium,Qwen3-235B-A22B-Instruct-2507,SUPPORT,1759,True,"LABEL: SUPPORT REASON: The evidence shows RAG systems have 8–15% error rates on biomarker thresholds despite grounding, directly supporting potential hallucination."
p30,teacher_medical,Baichuan-M3-Plus,SUPPORT,9443,True,"**LABEL: SUPPORT**   **REASON:** The evidence states that RAG-based systems exhibit 8–15% factual error rates on numeric biomarker thresholds despite grounding context, directly indicating hallucinations persist even with retrieved evidence ^[5]^.  This demonstrates that **retrieval-augmented generation does not eliminate hallucinations entirely**, particularly in **numeric or threshold-based clinical data** such as biomarkers. The claim is substantiated by the reported error rates, which confir"
